    a
    ab · Preposition
    schnelles · Neuter Adjective
    schokolade · Feminine Noun
    schön · Adjective
    schon · Adverb
    schöne · Feminine Adjective
    schönen · Adjective
    schöner · Adjective
    schrank · Masculine Noun
    schränke · Masculine Noun
    schreibe · Verb
    schreiben · Verb
    schreibst · Verb
    schreibt · Verb
    schrieb · Verb
    schrieben · Verb
    schrift · Feminine Noun
    schritt · Masculine Noun
    schritte · Masculine Noun
    schuh · Masculine Noun
    schuhe · Masculine Noun
    schule · Feminine Noun
    schulen · Feminine Noun
    schüler · Masculine Noun
    schülerin · Feminine Noun
    schülerinnen · Feminine Noun
    schulter · Feminine Noun
    schultern · Feminine Noun
    schüssel · Feminine Noun
    schüsseln · Feminine Noun
    schutz · Masculine Noun
    schützen · Verb
    schützt · Verb
    schwach · Adjective
    schwamm · Verb
    schwammen · Verb
    schwammst · Verb
    schwammt · Verb
    schwanger · Adjective
    schwarz · Adjective
    schwarze · Adjective
    schwarzen · Masculine Adjective
    schwarzes · Neuter Adjective
    schweden · Masculine Noun
    schwein · Neuter Noun
    schweine · Neuter Noun
    schweiz · Feminine Proper Noun
    schweizer · Masculine Noun
    schweizer franken
    schwer · Adjective
    schwester · Feminine Noun
    schwestern · Feminine Noun
    schwimmbad · Neuter Noun
    schwimme · Verb
    schwimmen · Verb
    schwimmst · Verb
    schwimmt · Verb
    sechs · Numeral
    sechste · Masculine Adjective
    sechzehn · Numeral
    sechzig · Numeral
    see · Feminine Noun
    seele · Feminine Noun
    seelen · Feminine Noun
    sehe · Verb
    sehen · Verb
    sehenswürdigkeiten · Feminine Noun
    sehr · Adverb
    seht · Verb
    sei · Verb
    seid · Verb
    seien · Verb
    seife · Feminine Noun
    sein · Neuter Pronoun
    seine · Feminine Pronoun
    seinem · Neuter Pronoun
    seinen · Masculine Pronoun
    seiner · Feminine Pronoun
    seit · Preposition
    seite · Feminine Noun
    seiten · Feminine Noun
    sekunde · Feminine Noun
    sekunden · Feminine Noun
    selber · Adverb
    selbst · Adverb
    selbstverständlich · Adjective
    selten · Adjective
    seltsam · Adjective
    seminar · Neuter Noun
    seminare · Neuter Noun
    sende · Verb
    senden · Verb
    sender · Masculine Noun
    sendest · Verb
    sendung · Feminine Noun
    sendungen · Feminine Noun
    senf · Masculine Noun
    senior · Masculine Noun
    senioren · Masculine Noun
    september · Masculine Noun
    serie · Feminine Noun
    serien · Feminine Noun
    service · Masculine Noun
    setzen · Verb
    setzt · Verb
    sichere · Verb
    sicherheit · Feminine Noun
    sichern · Verb
    sichert · Verb
    sicht · Feminine Noun
    sichtbar · Adjective
    sie · Pronoun
    sieben · Numeral
    siebte · Verb
    siebzehn · Numeral
    siebzig · Numeral
    sieg · Masculine Noun
    siehst · Verb
    sieht · Verb
    silber · Neuter Noun
    sind · Verb
    singe · Verb
    singen · Verb
    singst · Verb
    singt · Verb
    sinn · Masculine Noun
    sinne · Masculine Noun
    sinnvoll · Adjective
    situation · Feminine Noun
    sitz · Masculine Noun
    skeptisch
    ski · Masculine Noun
    so · Adverb
    sobald · Conjunction
    soeben · Adverb
    sofa · Neuter Noun
    sofas · Neuter Noun
    sofort · Adverb
    sogar · Adverb
    sohn · Masculine Noun
    söhne · Masculine Noun
    solange · Conjunction
    soll · Verb
    sollen · Verb
    sollst · Verb
    sommer · Masculine Noun
    sonderangebot · Neuter Noun
    sonderangebote · Neuter Noun
    sondern · Conjunction
    sonne · Feminine Noun
    sonntag · Masculine Noun
    sonntage · Masculine Noun
    sonst · Adverb
    soweit · Adverb
    sowohl · Conjunction
    soziale · Neuter Adjective
    sozialen · Adjective
    soziales · Neuter Adjective
    spalte · Feminine Noun
    spanien · Neuter Proper Noun
    spargel · Masculine Noun
    spaß · Masculine Noun
    spät · Adjective
    später · Adjective
    spätestens · Adverb
    spazieren · Verb
    spaziert · Verb
    spazierte · Verb
    spazierten · Verb
    speisekarte · Feminine Noun
    spezialität · Feminine Noun
    spezialitäten · Feminine Noun
    speziellen · Adjective
    spiegel · Masculine Noun
    spiel · Neuter Noun
    spiele · Verb
    spielen · Verb
    spieler · Masculine Noun
    spielst · Verb
    spielt · Verb
    spielzeug · Neuter Noun
    spinnen · Feminine Noun
    spiritualität · Feminine Noun
    sport · Masculine Noun
    sprach · Verb
    sprache · Feminine Noun
    sprachen · Feminine Noun
    sprachst · Verb
    spreche · Verb
    sprechen · Verb
    sprecht · Verb
    sprichst · Verb
    spricht · Verb
    springe · Verb
    springen · Verb
    springt · Verb
    staat · Masculine Noun
    stadt · Feminine Noun
    städte · Feminine Noun
    stadtplan · Masculine Noun
    stadtpläne · Masculine Noun
    stahl · Masculine Noun
    stand · Verb
    standard · Masculine Noun
    standards · Masculine Noun
    standort · Masculine Noun
    standorte · Masculine Noun
    stark · Adjective
    starke · Adjective
    starken · Adjective
    stärker · Adjective
    start · Masculine Noun
    starte · Verb
    starten · Verb
    startest · Verb
    startet · Verb
    statistik · Feminine Noun
    statistiken · Feminine Noun
    steckdose · Feminine Noun
    steckdosen · Feminine Noun
    stehe · Verb
    stehen · Verb
    stehlt · Verb
    stehst · Verb
    steht · Verb
    steigen · Verb
    steigt · Verb
    stein · Masculine Noun
    steine · Masculine Noun
    stelle · Verb
    stellen · Verb
    stellenangebot · Neuter Noun
    stellenangebote · Neuter Noun
    stellt · Verb
    stellte · Verb
    stellten · Verb
    stern · Masculine Noun
    sterne · Masculine Noun
    steuer · Feminine Noun
    steuern · Feminine Noun
    sticht · Verb
    stiehlt · Verb
    stift · Masculine Noun
    stifte · Masculine Noun
    stiften · Masculine Noun
    stil · Masculine Noun
    stimme · Feminine Noun
    stimmen · Feminine Noun
    stimmt · Verb
    stirn · Feminine Noun
    stolz · Adjective
    strahlung · Feminine Noun
    strand · Masculine Noun
    strände · Masculine Noun
    straße · Feminine Noun
    strategie · Feminine Noun
    strecke · Feminine Noun
    strecken · Feminine Noun
    streifen · Feminine Noun
    strom · Masculine Noun
    struktur · Feminine Noun
    strukturen · Feminine Noun
    stück · Neuter Noun
    student · Masculine Noun
    studenten · Masculine Noun
    studentin · Feminine Noun
    studentinnen · Feminine Noun
    studie · Feminine Noun
    studien · Feminine Noun
    studierst · Verb
    studio · Neuter Noun
    studium · Neuter Noun
    stufe · Feminine Noun
    stuhl · Masculine Noun
    stühle · Masculine Noun
    stunde · Feminine Noun
    stunden · Feminine Noun
    sturm · Masculine Noun
    sturms · Masculine Noun
    suche · Verb
    suchen · Verb
    sucht · Verb
    südamerika · Neuter Proper Noun
    süden · Masculine Noun
    südpol · Masculine Noun
    summe · Feminine Noun
    summen · Feminine Noun
    super · Adjective
    supermarkt · Masculine Noun
    supermärkte · Masculine Noun
    suppe · Feminine Noun
    süß · Adjective
    symbol · Neuter Noun
    synagogen · Feminine Noun
    system · Neuter Noun
    systeme · Neuter Noun
    t
    tabelle · Feminine Noun
    tabellen · Feminine Noun
    tag · Masculine Noun
    tag der deutschen einheit
    tage · Masculine Noun
    tagen · Masculine Noun
    täglich · Adjective
    tanten · Feminine Noun
    tanz · Masculine Noun
    tanze · Verb
    tanzen · Verb
    tanzt · Verb
    tapfer · Adjective
    tasche · Feminine Noun
    taschen · Feminine Noun
    tasse · Feminine Noun
    tassen · Feminine Noun
    tastatur · Feminine Noun
    tastaturen · Feminine Noun
    taste · Feminine Noun
    tätigkeit · Feminine Noun
    tätigkeiten · Feminine Noun
    tatsächlich · Adjective
    tausend · Numeral
    taxi · Neuter Noun
    team · Neuter Noun
    teams · Neuter Noun
    technik · Feminine Noun
    techniken · Feminine Noun
    technischen · Adjective
    tee · Masculine Noun
    teil · Neuter Noun
    teile · Verb
    teilen · Verb
    teilnahme · Feminine Noun
    teilnehmer · Masculine Noun
    teilnehmern · Masculine Noun
    teilt · Verb
    telefon · Neuter Noun
    telefone · Neuter Noun
    telefonieren · Verb
    telefonnummer · Feminine Noun
    telefonnummern · Feminine Noun
    teller · Masculine Noun
    tempel · Masculine Noun
    temperatur · Feminine Noun
    teppich · Masculine Noun
    teppiche · Masculine Noun
    termin · Masculine Noun
    termine · Masculine Noun
    test · Masculine Noun
    teste · Verb
    testen · Verb
    testest · Verb
    testet · Verb
    tests · Masculine Noun
    teuer · Adjective
    teurer · Adjective
    text · Masculine Noun
    texte · Masculine Noun
    theater · Neuter Noun
    thema · Neuter Noun
    themen · Neuter Noun
    theorie · Feminine Noun
    therapie · Feminine Noun
    tief · Adjective
    tiefe · Feminine Noun
    tier · Neuter Noun
    tiere · Neuter Noun
    tierwelt · Feminine Noun
    tiger · Masculine Noun
    tisch · Masculine Noun
    tische · Masculine Noun
    titel · Masculine Noun
    töchter · Feminine Noun
    tochter · Feminine Noun
    tod · Masculine Noun
    toilette · Feminine Noun
    toiletten · Feminine Noun
    toll · Adjective
    tomate · Feminine Noun
    tomaten · Feminine Noun
    ton · Masculine Noun
    tor · Neuter Noun
    total · Adjective
    tour · Feminine Noun
    touren · Feminine Noun
    tourismus · Masculine Noun
    tradition · Feminine Noun
    traditionen · Feminine Noun
    trage · Verb
    tragen · Verb
    trägst · Verb
    trägt · Verb
    tragt · Verb
    trainer · Masculine Noun
    training · Neuter Noun
    trank · Verb
    tranken · Verb
    trankst · Verb
    trankt · Verb
    traum · Masculine Noun
    träume · Verb
    träumen · Verb
    träumt · Verb
    traurig · Adjective
    treffen · Verb
    trefft · Verb
    treppe · Feminine Noun
    treppen · Feminine Noun
    trete · Verb
    treten · Verb
    triffst · Verb
    trifft · Verb
    trink · Verb
    trinke · Verb
    trinken · Verb
    trinkgeld · Neuter Noun
    trinkst · Verb
    trinkt · Verb
    tritt · Verb
    trittst · Verb
    trocken · Adjective
    trommel · Feminine Noun
    trotzdem · Adverb
    tschüss · Interjection
    tun · Verb
    tür · Feminine Noun
    türen · Feminine Noun
    türke · Masculine Noun
    türkei · Feminine Proper Noun
    türken · Masculine Noun
    tut · Verb
    tüte · Feminine Noun
    tüten · Feminine Noun
    ü
    über · Preposition
    überall · Adverb
    überblick · Masculine Noun
    überhaupt · Adverb
    überlege · Verb
    überlegst · Verb
    übernehme · Verb
    übernimmst · Verb
    übernimmt · Verb
    überprüfe · Verb
    überprüfen · Verb
    überprüfst · Verb
    überprüft · Verb
    übersetzung · Feminine Noun
    übersetzungen · Feminine Noun
    übersicht · Feminine Noun
    überweise · Verb
    überweist · Verb
    übrigen · Adjective
    übrigens · Adverb
    übung · Feminine Noun
    übungen · Feminine Noun
    uhr · Feminine Noun
    uhren · Feminine Noun
    uhrzeit · Feminine Noun
    um · Preposition
    umfang · Masculine Noun
    umfrage · Feminine Noun
    umfragen · Feminine Noun
    umgang · Masculine Noun
    umgebung · Feminine Noun
    ums · Neuter Preposition
    umsetzung · Feminine Noun
    umwelt · Feminine Noun
    umzug · Masculine Noun
    unabhängig · Adjective
    unbekannt · Adjective
    und · Conjunction
    unfall · Masculine Noun
    unfälle · Masculine Noun
    unglaublich · Adjective
    unheimlich · Adjective
    uni · Feminine Noun
    unis · Feminine Noun
    universität · Feminine Noun
    unmöglich · Adjective
    uns · Pronoun
    unser · Neuter Pronoun
    unsere · Feminine Pronoun
    unserem · Neuter Pronoun
    unseren · Pronoun
    unserer · Feminine Pronoun
    unsichtbar · Adjective
    unten · Adverb
    unter · Preposition
    unterhaltung · Feminine Noun
    unterkunft · Feminine Noun
    unternehmen · Neuter Noun
    unterricht · Masculine Noun
    unterschied · Masculine Noun
    unterschiede · Masculine Noun
    unterschiedliche · Adjective
    unterstütze · Verb
    unterstützen · Verb
    unterstützt · Verb
    unterstützung · Feminine Noun
    untersuchung · Feminine Noun
    untersuchungen · Feminine Noun
    unterwegs · Adverb
    urenkel · Masculine Noun
    urgroßmutter · Feminine Noun
    urgroßmütter · Feminine Noun
    urlaub · Masculine Noun
    urteil · Neuter Noun
    v
    vater · Masculine Noun
    väter · Masculine Noun
    vegetarier · Masculine Noun
    verändere · Verb
    verändern · Verb
    veränderst · Verb
    verändert · Verb
    veranstaltung · Feminine Noun
    veranstaltungen · Feminine Noun
    verantwortlich · Adjective
    verantwortung · Feminine Noun
    verband · Masculine Noun
    verbände · Masculine Noun
    verbesserung · Feminine Noun
    verbindung · Feminine Noun
    verbindungen · Feminine Noun
    verbraucher · Masculine Noun
    verdiene · Verb
    verdienen · Verb
    verdienst · Verb
    verdient · Verb
    verein · Masculine Noun
    vereinbarung · Feminine Noun
    vereine · Masculine Noun
    verfahren · Neuter Noun
    verfasser · Masculine Noun
    verfügbar · Adjective
    verfügbaren · Adjective
    verfügen · Verb
    verfügt · Verb
    vergangenen · Adjective
    vergangenheit · Feminine Noun
    vergebe · Verb
    vergeben · Verb
    vergesse · Verb
    vergessen · Verb
    vergibst · Verb
    vergibt · Verb
    vergisst · Verb
    vergleich · Masculine Noun
    vergleichen · Verb
    vergleichst · Verb
    vergleicht · Verb
    verhalten · Neuter Noun
    verhältnis · Neuter Noun
    verhandele · Verb
    verhandeln · Verb
    verhandelt · Verb
    verheiratet · Adjective
    verhindere · Verb
    verhindern · Verb
    verkauf · Masculine Noun
    verkaufe · Verb
    verkaufen · Verb
    verkäufer · Masculine Noun
    verkaufst · Verb
    verkauft · Verb
    verkehr · Masculine Noun
    verlag · Masculine Noun
    verlage · Masculine Noun
    verlasse · Verb
    verlassen · Verb
    verlässt · Verb
    verlauf · Masculine Noun
    verlor · Verb
    verlust · Masculine Noun
    vermeide · Verb
    vermeiden · Verb
    vermeidet · Verb
    vermitteln · Verb
    vermittelt · Verb
    vermittlung · Feminine Noun
    veröffentliche · Verb
    veröffentlichen · Verb
    veröffentlicht · Verb
    verpasse · Verb
    verpassen · Verb
    verpasst · Verb
    verpflichtet · Adjective
    verpflichtungen · Feminine Noun
    verrückt · Adjective
    verschiedene · Adjective
    verschiedenen · Adjective
    verschwinde · Verb
    verschwinden · Verb
    versicherung · Feminine Noun
    version · Feminine Noun
    versionen · Feminine Noun
    versorgung · Feminine Noun
    verspätung · Feminine Noun
    verständnis · Neuter Noun
    verstehe · Verb
    verstehen · Verb
    verstehst · Verb
    versteht · Verb
    versuch · Masculine Noun
    versuche · Verb
    versuchen · Verb
    versuchst · Verb
    versucht · Verb
    vertrag · Masculine Noun
    verträge · Masculine Noun
    vertreten · Verb
    vertretet · Verb
    vertritt · Verb
    verwaltung · Feminine Noun
    verwandte · Feminine Noun
    verwandten · Feminine Noun
    verwendung · Feminine Noun
    verzeichnis · Neuter Noun
    verzeihung · Feminine Noun
    viel · Determiner
    viele · Determiner
    vielen · Determiner
    vielleicht · Adverb
    vier · Numeral
    vierte · Masculine Adjective
    viertel · Verb
    vierundzwanzig · Numeral
    vierzehn · Numeral
    vierzig · Numeral
    visa · Neuter Noun
    visum · Neuter Noun
    vögel · Masculine Noun
    vogel · Masculine Noun
    volk · Neuter Noun
    voll · Adjective
    völlig · Adjective
    vom · Masculine Preposition
    von · Preposition
    vor · Preposition
    voraus · Adverb
    vorbei · Adverb
    vorbereitung · Feminine Noun
    vorbereitungen · Feminine Noun
    vorher · Adverb
    vorname · Masculine Noun
    vornamen · Masculine Noun
    vorne · Adverb
    vorschlag · Masculine Noun
    vorschläge · Masculine Noun
    vorschriften · Feminine Noun
    vorsichtig · Adjective
    vorspeise · Feminine Noun
    vorstellung · Feminine Noun
    vorteil · Masculine Noun
    vorteile · Masculine Noun
    vortrag · Masculine Noun
    vorwahl · Feminine Noun
    w
    wahl · Feminine Noun
    wählen · Verb
    wahlen · Feminine Noun
    wählt · Verb
    wahr · Adjective
    während · Preposition
    wahrheit · Feminine Noun
    wahrscheinlich · Adjective
    wald · Masculine Noun
    wälder · Masculine Noun
    wale · Masculine Noun
    wand · Feminine Noun
    wände · Feminine Noun
    wandere · Verb
    wandern · Verb
    wanderst · Verb
    wandert · Verb
    wann · Adverb
    war · Verb
    ware · Feminine Noun
    wäre · Verb
    wären · Verb
    waren · Feminine Noun
    warm · Adjective
    warte · Verb
    warten · Verb
    wartest · Verb
    wartet · Verb
    warum · Adverb
    was · Neuter Pronoun
    wasche · Verb
    waschen · Verb
    wäschst · Verb
    wäscht · Verb
    wasser · Neuter Noun
    wechsel · Masculine Noun
    wechseln · Verb
    wechselt · Verb
    wechsle · Verb
    weder · Conjunction
    weg · Masculine Noun
    wege · Masculine Noun
    wegen · Preposition
    weich · Adjective
    weihnachten · Neuter Noun
    weil · Conjunction
    wein · Masculine Noun
    weiß · Verb
    weise · Feminine Noun
    weiße · Adjective
    weißen · Adjective
    weißer · Masculine Adjective
    weißes · Neuter Adjective
    weißt · Verb
    weit · Adjective
    weiterbildung · Feminine Noun
    weitere · Feminine Adjective
    weiterer · Masculine Adjective
    weiteres · Neuter Adjective
    weiterhin · Adverb
    welche · Determiner
    welchem · Neuter Determiner
    welchen · Masculine Determiner
    welcher · Feminine Determiner
    welches · Neuter Determiner
    welle · Feminine Noun
    wellen · Feminine Noun
    welt · Feminine Noun
    weltraum · Masculine Noun
    wem · Pronoun
    wen · Pronoun
    wenden · Verb
    wenige · Determiner
    wenigen · Determiner
    weniger · Adverb
    wenigstens · Adverb
    wenn · Conjunction
    wer · Pronoun
    werbung · Feminine Noun
    werde · Verb
    werdet · Verb
    werkstatt · Feminine Noun
    werkstätten · Feminine Noun
    werktag · Masculine Noun
    werktage · Masculine Noun
    werkzeug · Neuter Noun
    werkzeuge · Neuter Noun
    wert · Adjective
    werte · Masculine Noun
    wertung · Feminine Noun
    wertvoll · Adjective
    wespe · Feminine Noun
    wespen · Feminine Noun
    wessen · Pronoun
    westen · Masculine Noun
    wettbewerb · Masculine Noun
    wettbewerbe · Masculine Noun
    wette · Feminine Noun
    wetter · Neuter Noun
    wichtig · Adjective
    wichtige · Adjective
    wichtigen · Adjective
    wichtiger · Adjective
    wichtigsten · Adjective
    wie · Conjunction
    wie bitte
    wie geht's
    wie viel
    wie viele
    wieder · Adverb
    wiedergeburt · Feminine Noun
    wien · Neuter Proper Noun
    wiese · Feminine Noun
    wieso · Adverb
    will · Verb
    willkommen · Adjective
    wind · Masculine Noun
    winter · Masculine Noun
    wir · Pronoun
    wird · Verb
    wirken · Verb
    wirklich · Adjective
    wirklichkeit · Feminine Noun
    wirkst · Verb
    wirkt · Verb
    wirkung · Feminine Noun
    wirst · Verb
    wirtschaft · Feminine Noun
    wissen · Neuter Noun
    wissenschaft · Feminine Noun
    wissenschaftlerin · Feminine Noun
    wisst · Verb
    witz · Masculine Noun
    witzig · Adjective
    wo · Adverb
    woche · Feminine Noun
    wochen · Feminine Noun
    wochenende · Neuter Noun
    wochenenden · Neuter Noun
    wöchentlich · Adjective
    wofür · Adverb
    woher · Adverb
    wohin · Adverb
    wohl · Adverb
    wohne · Verb
    wohnen · Verb
    wohnst · Verb
    wohnt · Verb
    wohnung · Feminine Noun
    wohnungen · Feminine Noun
    wohnzimmer · Neuter Noun
    wolke · Feminine Noun
    wolle · Feminine Noun
    wollen · Verb
    womit · Adverb
    wort · Neuter Noun
    worten · Neuter Noun
    wörter · Neuter Noun
    wörterbuch · Neuter Noun
    wörterbücher · Neuter Noun
    wörterbüchern · Neuter Noun
    wortes · Neuter Noun
    worüber · Adverb
    wunder · Neuter Noun
    wunderbar · Adjective
    wunderschön · Adjective
    wunderschöne · Feminine Adjective
    wunsch · Masculine Noun
    wünsche · Verb
    wünschen · Verb
    wünscht · Verb
    würde · Verb
    wurde · Verb
    wurden · Verb
    würste · Feminine Noun
    wüste · Feminine Noun
    wüsten · Feminine Noun
    z
    zahl · Feminine Noun
    zahlen · Verb
    zahlreiche · Adjective
    zahlt · Verb
    zählt · Verb
    zahlung · Feminine Noun
    zahlungen · Feminine Noun
    zahn · Masculine Noun
    zahnarzt · Masculine Noun
    zahnärztin · Feminine Noun
    zahnbürste · Feminine Noun
    zahnbürsten · Feminine Noun
    zaun · Masculine Noun
    zäune · Masculine Noun
    zebra · Neuter Noun
    zebras · Neuter Noun
    zeh · Masculine Noun
    zehen · Masculine Noun
    zehn · Numeral
    zeichen · Neuter Noun
    zeige · Verb
    zeigen · Verb
    zeigst · Verb
    zeigt · Verb
    zeigte · Verb
    zeigten · Verb
    zeit · Feminine Noun
    zeiten · Feminine Noun
    zeitmaschine · Feminine Noun
    zeitpunkt · Masculine Noun
    zeitpunkte · Masculine Noun
    zeitraum · Masculine Noun
    zeitreise · Feminine Noun
    zeitschrift · Feminine Noun
    zeitschriften · Feminine Noun
    zeitung · Feminine Noun
    zeitungen · Feminine Noun
    zentrale · Feminine Noun
    zentren · Neuter Noun
    zentrum · Neuter Noun
    zeug · Neuter Noun
    ziel · Neuter Noun
    ziele · Neuter Noun
    ziemlich · Adverb
    zimmer · Neuter Noun
    zinsen · Masculine Noun
    zitieren · Verb
    zitierst · Verb
    zitrone · Feminine Noun
    zoll · Masculine Noun
    zoos · Masculine Noun
    zu · Adverb
    zu abend
    zu mittag
    zubehör · Neuter Noun
    zucker · Masculine Noun
    zuerst · Adverb
    zufälliger · Masculine Adjective
    zufrieden · Adjective
    zug · Masculine Noun
    zugang · Masculine Noun
    züge · Masculine Noun
    zugleich · Adverb
    zukunft · Feminine Noun
    zuletzt · Adverb
    zum · Neuter Preposition
    zumindest · Adverb
    zur · Feminine Preposition
    zurück · Adverb
    zusammen · Adverb
    zusammenarbeit · Feminine Noun
    zusammenfassung · Feminine Noun
    zusammenhang · Masculine Noun
    zusätzliche · Adjective
    zusätzlichen · Adjective
    zuschauer · Masculine Noun
    zustand · Masculine Noun
    zuständig · Adjective
    zuständigen · Masculine Adjective
    zustimmung · Feminine Noun
    zuvor · Adverb
    zwanzig · Numeral
    zweck · Masculine Noun
    zwei · Numeral
    zweite · Neuter Adjective
    zweiten · Masculine Adjective
    zweiundachtzig · Numeral
    zweiunddreißig · Numeral
    zweiundvierzig · Numeral
    zwiebeln · Feminine Noun
    zwilling · Masculine Noun
    zwillinge · Masculine Noun
    zwischen · Preposition
    zwölf · Numeral
